Campaign Name,Ad Set Name,Ad Name,Platform,Date,Impressions,Clicks,Engagement (Likes+Shares+Comments),Money Spent,Revenue 
Holiday Sale 2025,Youth Audience,Xmas Carousel 1,Facebook,12/1/2025,"25,000",500,200,300,"1,000"
Holiday Sale 2025,Youth Audience,Xmas Video 2,Instagram,12/1/2025,"20,000",400,180,250,900
Winter Promo 2025,Adult Audience,Winter Carousel,Facebook,12/2/2025,"30,000",450,150,320,800
Winter Promo 2025,Adult Audience,Winter Video 2,Instagram,12/2/2025,"22,000",330,120,280,700
New Year Campaign,All Audience,NY Countdown Ad,Facebook,12/5/2025,"40,000","1,200",500,500,"2,000"
New Year Campaign,All Audience,NY Story Ad,Instagram,12/5/2025,"35,000",950,400,450,"1,800"
Winter Sale Blitz,Youth Audience,Blitz Carousel 1,Facebook,12/6/2025,"28,000",560,220,310,"1,100"
Winter Sale Blitz,Youth Audience,Blitz Video 1,Instagram,12/6/2025,"24,000",480,210,290,"1,050"
Festive Promo,Adult Audience,Festive Carousel,Facebook,12/7/2025,"32,000",640,250,350,"1,200"
Festive Promo,Adult Audience,Festive Video,Instagram,12/7/2025,"26,000",520,230,320,"1,150"
Holiday Countdown,Youth Audience,Countdown Ad 1,Facebook,12/8/2025,"27,000",540,210,300,"1,050"
Holiday Countdown,Youth Audience,Countdown Ad 2,Instagram,12/8/2025,"23,000",460,200,280,"1,000"
Festive Fun Ads,Adult Audience,Fun Carousel,Facebook,12/9/2025,"31,000",620,240,340,"1,150"
Festive Fun Ads,Adult Audience,Fun Video,Instagram,12/9/2025,"27,000",540,230,310,"1,100"
Winter Deals 2025,All Audience,Deals Carousel,Facebook,12/10/2025,"36,000",900,350,400,"1,500"
Winter Deals 2025,All Audience,Deals Video,Instagram,12/10/2025,"32,000",800,320,380,"1,400"
Year-End Promo,Youth Audience,YE Carousel 1,Facebook,12/11/2025,"29,000",580,220,310,"1,050"
Year-End Promo,Youth Audience,YE Video 1,Instagram,12/11/2025,"25,000",500,210,290,"1,000"
NY Celebration Ads,All Audience,NY Carousel,Facebook,12/12/2025,"38,000","1,000",450,420,"1,800"
